whale_ID,sex,class,pregnant,mom_calf,mom_calf_pair,datetime,month,year,season,seasonal_duration,Lab,Aircraft,Flight,Focal_Length,Sw,Iw,TL.mean,TL.lower,TL.upper,TL.HPDwidth,TL.var,TL.cv,BAI.mean,BAI.lower,BAI.upper,BAI.HPDwidth,BAI.var,BAI.cv
whale155,F,Lactating Female,,mom,35,2/26/19 20:37,2,2019,season 3,117.8595602,MaRRS,LemHex,190226_L_F4,35,23.5,6000,13.10067785,12.86685426,13.34754987,0.480695609,0.019250173,3.833279093,25.13497346,24.81692603,25.46661585,0.649689827,0.027336466,0.657798306
whale156,F,Lactating Female,,mom,29,3/17/19 18:48,3,2019,season 3,136.7837037,MaRRS,LemHex,190317_L_F2,35,23.5,6000,15.08891355,14.598197,15.57577375,0.977576749,0.060737523,6.344531403,21.84461053,21.63688553,22.05796358,0.421078052,0.01143894,0.489608086
whale157,unknown,Calf,,calf,36,3/1/19 13:04,3,2019,season 3,120.544838,MaRRS,LemHex,190301_L_F1,35,23.5,6000,8.695709566,8.542873727,8.855201844,0.312328117,0.007356743,2.90864205,26.72523858,26.43622306,27.00266893,0.56644587,0.020780938,0.539400045
whale158,unknown,Juvenile Unknown,,,NA,12/24/18 19:29,12,2018,season 3,53.81203704,MaRRS,LemHex,181224_L_F1,35,23.5,6000,9.344570923,9.168372559,9.532138309,0.36376575,0.008533109,3.021857406,23.91163747,23.24322264,24.55774296,1.314520313,0.111333048,1.395412894
whale159,unknown,Juvenile Unknown,,,NA,2/25/19 14:22,2,2019,season 3,116.5989815,MaRRS,LemHex,190225_L_F2,35,23.5,6000,11.43224686,11.13504287,11.73952011,0.604477243,0.044166961,6.215598659,26.84724873,26.60972888,27.08574057,0.476011685,0.014748986,0.452356978
whale160,unknown,Juvenile Unknown,,,NA,2/25/19 14:22,2,2019,season 3,116.5989815,MaRRS,LemHex,190225_L_F2,35,23.5,6000,11.18062171,10.96173353,11.42007779,0.45834426,0.015847472,3.764844308,26.58588674,26.38324779,26.79552959,0.412281797,0.010970178,0.393963225
whale161,F,Lactating Female,,mom,33,2/26/19 12:51,2,2019,season 3,117.5360764,MaRRS,LemHex,190226_L_F1,35,23.5,6000,13.85392045,13.41008468,14.98772472,1.577640036,0.19440101,11.84575957,24.21367658,23.84085164,24.58194321,0.741091573,0.035390021,0.776926032
whale162,unknown,Calf,,calf,32,2/24/19 21:28,2,2019,season 3,115.8950231,MaRRS,LemHex,190224_L_F2,35,23.5,6000,8.197258073,7.953985538,8.419652651,0.465667112,0.040768254,7.052234641,24.72976844,24.37520554,25.086993,0.711787465,0.032800113,0.7323482
whale163,unknown,Juvenile Unknown,,,NA,2/26/19 20:37,2,2019,season 3,117.8595602,MaRRS,LemHex,190226_L_F4,35,23.5,6000,8.635487785,8.401325444,9.311043054,0.909717611,0.043562972,7.102566576,22.14778121,21.75496092,22.51904453,0.764083606,0.037791589,0.877742955
whale164,unknown,Calf,,calf,28,12/24/18 19:29,12,2018,season 3,53.81203704,MaRRS,LemHex,181224_L_F1,35,23.5,6000,8.068334931,7.966076083,8.179612337,0.213536255,0.002984372,1.923244725,21.86435439,21.52374357,22.19515627,0.671412698,0.029248761,0.782198681
whale165,F,Non-pregnant Female,,,NA,12/16/18 13:25,12,2018,season 3,45.55912037,MaRRS,LemHex,181216_L_F2,35,23.5,6000,12.81011759,12.63522286,12.98902301,0.353800148,0.008296355,2.544878807,26.17983126,25.96874973,26.38826208,0.419512354,0.011485177,0.4093568
whale166,unknown,Calf,,calf,27,12/24/18 19:29,12,2018,season 3,53.81203704,MaRRS,LemHex,181224_L_F1,35,23.5,6000,8.855244239,8.741894962,8.970094025,0.228199063,0.003356044,1.946764966,22.36830917,21.94436497,22.80034655,0.855981583,0.047069862,0.96992534
whale167,unknown,Juvenile Unknown,,,NA,2/26/19 14:38,2,2019,season 3,117.6098495,MaRRS,LemHex,190226_L_F3,35,23.5,6000,9.07348547,8.747317583,9.564416321,0.817098738,0.045096744,7.049941631,26.92298394,26.52837374,27.30243166,0.774057916,0.038523448,0.7290199
whale168,unknown,Juvenile Unknown,,,NA,2/25/19 13:59,2,2019,season 3,116.583206,MaRRS,LemHex,190225_L_F1,35,23.5,6000,10.7513736,10.59697298,10.91196626,0.314993276,0.006481575,2.455321144,26.1109563,25.65978103,26.57037855,0.91059752,0.053760765,0.887993814
whale169,F,Lactating Female,,mom,28,12/24/18 19:29,12,2018,season 3,53.81203704,MaRRS,LemHex,181224_L_F1,35,23.5,6000,11.70460847,11.52309116,11.89504743,0.371956271,0.009030037,2.777578314,24.08700665,23.72031087,24.44642189,0.726111026,0.034197701,0.76774257
whale170,unknown,Juvenile Unknown,,,NA,2/23/19 20:37,2,2019,season 3,114.8596181,MaRRS,LemHex,190223_L_F1,35,23.5,6000,10.27019807,9.786313735,11.00346802,1.217154284,0.221469457,14.68478225,25.02872325,24.56219894,25.48445161,0.922252671,0.054652793,0.934044322
whale171,unknown,Juvenile Unknown,,,NA,2/23/19 20:37,2,2019,season 3,114.8596181,MaRRS,LemHex,190223_L_F1,35,23.5,6000,10.43851176,9.870030648,11.10730472,1.237274076,0.26118003,15.81796794,26.03329797,25.78795515,26.28613896,0.498183811,0.016066676,0.486893332
whale172,unknown,Juvenile Unknown,,,NA,2/24/19 14:45,2,2019,season 3,115.6152199,MaRRS,LemHex,190224_L_F1,35,23.5,6000,10.03618439,9.872316354,10.21200378,0.339687427,0.008246526,2.866495091,25.74283764,25.42123775,26.06848387,0.64724612,0.027149388,0.640064297
whale173,F,Lactating Female,,mom,39,3/5/19 19:08,3,2019,season 3,124.7977778,MaRRS,LemHex,190305_L_F3,35,23.5,6000,12.5327537,12.30334308,12.78538625,0.482043166,0.015701031,3.539491136,23.25908901,23.09504067,23.42609968,0.331059013,0.007086062,0.361917646
whale174,F,Lactating Female,,mom,32,2/24/19 21:28,2,2019,season 3,115.8950231,MaRRS,LemHex,190224_L_F2,35,23.5,6000,12.96700871,12.64961223,13.30256711,0.652954875,0.03062716,4.859968601,25.7531588,25.19770157,26.30441018,1.106708617,0.079804797,1.096942826
whale175,unknown,Juvenile Unknown,,,NA,3/7/18 19:58,3,2018,season 2,126.8323148,MaRRS,LemHex,180307_L_F9,50,23.5,6000,10.45194511,10.2892858,10.61854756,0.329261759,0.006907768,2.570812009,26.68154016,26.42778615,26.93137377,0.503587614,0.016387515,0.479783879
whale176,F,Lactating Female,,mom,8,3/2/18 18:51,3,2018,season 2,121.7860995,MaRRS,LemHex,180302_L_F2,50,23.5,6000,11.26584641,10.90055449,11.64794237,0.747387888,0.035605596,5.621823598,25.25761892,25.05287758,25.46325613,0.410378556,0.010921684,0.413763717
whale177,F,Lactating Female,,mom,9,3/7/18 11:54,3,2018,season 2,126.4960301,MaRRS,LemHex,180307_L_F2,50,23.5,6000,12.68876956,12.48639252,12.89653833,0.410145807,0.010746671,2.910229395,29.10646847,28.83090529,29.38109101,0.550185718,0.019683361,0.482014511
whale178,F,Juvenile Female,,,NA,3/7/18 12:25,3,2018,season 2,126.5175,MaRRS,LemHex,180307_L_F3,50,23.5,6000,11.37907858,10.44107383,12.37858672,1.937512884,0.242205988,14.589449,30.50874835,30.37968817,30.6312386,0.251550424,0.00366237,0.198361188
whale179,F,Lactating Female,,mom,11,3/7/18 12:39,3,2018,season 2,126.527662,MaRRS,LemHex,180307_L_F4,50,23.5,6000,13.35639516,13.18575819,13.52256244,0.33680425,0.007390049,2.352225928,26.19488088,26.01421812,26.37520712,0.360989003,0.00846426,0.351219052
whale180,unknown,Calf,,calf,7,2/27/18 12:26,2,2018,season 2,118.5184028,MaRRS,LemHex,180227_L_F4,50,23.5,6000,9.008421118,8.655208883,9.370975537,0.715766654,0.03267276,6.022385749,25.51450193,25.15330408,25.88499745,0.731693369,0.034145935,0.724239842
whale181,F,Non-pregnant Female,,,NA,6/11/18 15:51,6,2018,season 2,222.6609259,MaRRS,LemHex,180611_L_F2,50,23.5,6000,12.74087894,12.52790412,12.97436599,0.44646187,0.012876521,3.179066196,27.24699962,27.02243308,27.46610893,0.443675846,0.01264966,0.412781993
whale182,unknown,Calf,,calf,10,3/7/18 11:54,3,2018,season 2,126.4960301,MaRRS,LemHex,180307_L_F2,50,23.5,6000,8.305866277,8.190003883,8.422357441,0.232353558,0.003486478,2.048806652,26.22336171,25.79197664,26.66872275,0.876746111,0.049978088,0.852513871
whale183,F,Non-pregnant Female,,,NA,6/9/18 16:47,6,2018,season 2,220.6998611,MaRRS,LemHex,180609_L_F2,50,23.5,6000,12.69542864,12.56090209,12.83875227,0.277850176,0.004884039,1.961398656,30.02780642,29.82618338,30.23623618,0.410052804,0.010956777,0.348592315
